Date,stn_Tmax,stn_Tmin,stn_RHmax,stn_RHmin,stn_WSmean,stn_SR,stn_Pr,stn_ETo,cdb_Tmax,cdb_Tmin,cdb_RHmax,cdb_RHmin,cdb_WSmean,cdb_SR,cdb_Pr,cdb_ETo
1984-10-01,32.5,13,35,22,3.8217348,17.91350090037758,0,2.8652919482389,31.71,14.19,35.96,16.49,2.44,22.63,2.36,6.23
1984-10-02,24.1,16.4,79,36,3.6897912,12.56311067033769,1.5,3.33702654330318,29.23,16.31,55.41,28.05,1.95,17.45,2.85,4.86
1984-10-03,26.0,14,88,40,4.246500599999999,12.19543850509804,19,7.268856971798045,25.6,13.08,77.43,47.51,3.31,15.1,10.91,4.49
1984-10-04,20.5,5.5,94,27,2.5821594,25.49322127791216,0,3.391037567881823,21.35,7.34,78.89,26.14,2.11,26.65,1.12,4.83
1984-10-05,17.0,3.5,65,21,1.9513764,25.59509870152984,0,3.088540134609294,18.08,5.04,58.8,28.99,2.27,26.66,0.0,4.59
1984-10-06,22.2,1.4,74,19,1.8564696,25.98510516156442,0,3.240472817719774,20.83,3.02,57.01,19.01,1.97,27.34,0.0,4.83
1984-10-07,25.8,3.5,64,19,2.0474406,26.23017588863944,11.2,9.28922615979772,24.39,4.23,57.68,15.04,1.86,27.01,0.0,5.25
1984-10-08,28.1,4.4,64,18,2.818269,25.89197606680563,0,3.523865361564291,27.12,6.31,63.34,11.06,2.59,27.09,0.0,6.24
1984-10-09,26.2,6.8,40,23,1.8680436,11.52609986709821,0.3,2.414376229770392,27.14,9.76,40.01,17.03,2.19,19.98,0.18,5.22
1984-10-10,19.2,14,90,60,3.2765994,12.60510072899822,23.6,4.096194805882678,19.48,11.98,76.85,68.31,2.72,11.83,11.66,2.81
1984-10-11,21.4,12.2,96,59,2.1840138,20.44635981166648,2.5,3.71011829509893,22.31,12.03,92.83,58.05,2.22,17.52,15.6,3.55
1984-10-12,23.3,9.3,98,34,2.395818,25.67755320540764,0,3.84808002806859,22.97,10.91,92.03,33.2,1.61,25.05,0.09,4.56
1984-10-13,27.6,10.5,90,26,2.395818,26.94726631045528,0,4.136237315494705,26.38,8.95,79.55,24.63,2.71,25.64,0.06,5.69
1984-10-14,28.8,11,74,25,2.3969754,26.44480583492095,0,4.072478937951209,25.82,11.78,74.33,34.44,2.39,21.73,11.57,4.75
1984-10-15,24.5,7.5,51,21,1.9999872,27.42204772326097,0,3.765325114752997,24.21,9.56,64.95,19.32,2.28,28.43,0.0,5.73
