Longitude,Latitude,Elevation,Date,Tmax,Tmin,RHmax,RHmin,VPmean,WSmean,SR,Pr,ETo
27.5,-33,365,19790101,29.17,16.42,78.87,53.96,2.13,3.61,29.42,3.74,5.97
27.5,-33,365,19790102,21.69,12.39,94.72,69.08,1.66,5.37,12.47,17.58,2.70
27.5,-33,365,19790103,18.26,10.9,83.69,53.94,1.16,3.44,23.25,2.02,4.04
27.5,-33,365,19790104,21.12,11.89,75.94,49.88,1.23,2.83,27.79,0.00,4.95
27.5,-33,365,19790105,25.63,13.53,73.35,53.67,1.63,3.57,32.57,0.00,5.98
27.5,-33,365,19790106,22.34,15.16,89.1,70.62,1.77,3.37,19.67,6.30,3.65
27.5,-33,365,19790107,20.09,13.45,86.43,53.07,1.31,2.76,22.38,0.60,4.20
27.5,-33,365,19790108,25.3,11.11,78.76,48.21,1.49,2.26,33.05,0.00,5.79
27.5,-33,365,19790109,30.12,13.08,84.81,53.25,2.09,2.46,31.68,0.00,6.09
27.5,-33,365,19790110,27.45,18.66,79.43,63.77,2.06,3.17,21.84,0.44,4.93
27.5,-33,365,19790111,23.58,17.41,76.31,58.95,1.75,2.42,17.58,0.28,3.87
27.5,-33,365,19790112,26.63,16.1,86.68,40.87,1.62,4.42,28.93,0.16,6.33
27.5,-33,365,19790113,25.58,13.23,82.96,45.23,1.54,2.34,29.3,0.00,5.51
27.5,-33,365,19790114,26.11,18.15,88.44,51.18,2.12,3.03,19.1,1.01,4.08
27.5,-33,365,19790115,38.97,19.52,82.86,28.13,1.98,3.12,31.45,0.00,9.04
27.5,-33,365,19790116,26.35,16.85,82.24,57.53,1.86,2.93,21.77,2.73,4.75
27.5,-33,365,19790117,22.81,17.2,83.36,62.55,1.72,2.89,12.74,0.88,3.28
27.5,-33,365,19790118,31.48,19.28,86.31,44.15,1.96,3.33,15.75,0.01,5.33
27.5,-33,365,19790119,29.71,18.29,83.36,49.51,2.1,2.5,26.94,1.21,5.82
27.5,-33,365,19790120,22.63,15.61,85.21,56.61,1.41,4.12,11.09,2.25,3.88
27.5,-33,365,19790121,21.18,13.74,58.79,41.35,1.11,4.73,22.43,0.56,5.32
27.5,-33,365,19790122,21.8,14.73,72.04,48.62,1.41,2.45,18.82,0.06,3.98
27.5,-33,365,19790123,27.64,15.71,76.48,45.17,1.69,4.17,31.96,0.00,6.65
27.5,-33,365,19790124,35.47,17.49,75.46,36.6,2.15,2.6,30.74,0.02,7.46
27.5,-33,365,19790125,33.31,19.65,72.51,32.81,1.97,3.11,25.86,0.36,6.97
27.5,-33,365,19790126,27.84,17.12,90.23,50.21,1.98,2.28,21.87,6.19,4.73
27.5,-33,365,19790127,21.9,18.92,96.77,80.77,2.12,2.58,8.59,27.50,2.01
27.5,-33,365,19790128,25.63,18.52,92.24,65.19,2.18,2.53,16.81,0.68,3.56
27.5,-33,365,19790129,21.29,17.52,93.81,85.47,2.07,2.84,6.36,15.65,1.56
27.5,-33,365,19790130,18.61,16.41,93.85,82.23,1.77,2.44,5.16,6.32,1.45
27.5,-33,365,19790131,23.62,16.5,89.76,67.21,1.84,2.82,17.55,0.50,3.63
27.5,-33,365,19790201,27.6,15.2,90.45,58.56,2.07,2.21,30.64,0.00,5.53
27.5,-33,365,19790202,28.34,18.39,91.71,55.07,2.09,3.62,28.52,0.15,5.90
27.5,-33,365,19790203,30.35,18.25,89.93,51.79,2.22,4.14,30.72,0.00,6.53
27.5,-33,365,19790204,30.1,18.37,84.12,53.47,2.09,2.2,24.29,0.14,5.40
27.5,-33,365,19790205,27.21,18,84.86,57.06,2.05,2.09,22.85,4.27,4.67
27.5,-33,365,19790206,25.5,18.79,93.01,59.57,2.14,2.26,19.07,0.65,3.87
27.5,-33,365,19790207,26.7,17.55,90.47,57.47,1.98,2.94,21.43,0.05,4.59
27.5,-33,365,19790208,22.67,16.85,86.48,64.53,1.98,2.99,13,1.91,2.67
27.5,-33,365,19790209,25.8,18.76,88.17,69.29,2.2,2.11,17.41,4.34,3.58
27.5,-33,365,19790210,22.65,18.12,92.82,64.29,1.98,2.29,7.84,2.93,2.15
27.5,-33,365,19790211,26.21,17.45,89.28,59.78,2.18,2.3,21.83,0.42,4.14
27.5,-33,365,19790212,26.56,20.41,93.99,66.39,2.46,2.63,16.65,2.24,3.47
27.5,-33,365,19790213,26.93,20.12,96.12,73.7,2.44,2.53,11.28,7.89,2.79
27.5,-33,365,19790214,28.9,18.55,88.9,55.12,2.27,2.25,27.16,0.13,5.35
27.5,-33,365,19790215,27.3,18.51,91.6,64.68,2.32,1.97,17.22,0.98,3.59
27.5,-33,365,19790216,22.61,17.63,88.91,70.95,1.82,2.72,8.37,2.46,2.49
27.5,-33,365,19790217,25.45,16.95,75.98,58.32,1.89,2.73,17.21,0.22,3.82
27.5,-33,365,19790218,23.92,18.3,90.06,54.04,1.92,2.62,13.15,0.45,3.16
27.5,-33,365,19790219,19.79,15.85,97.87,67.38,1.63,2.94,10.1,3.12,2.42
27.5,-33,365,19790220,26,16.23,80.39,55.73,1.82,5.15,19.19,0.29,4.64
27.5,-33,365,19790221,36.52,18.4,69.94,36.21,1.96,2.86,25.57,5.23,7.19
27.5,-33,365,19790222,23.15,17.53,94.08,66.92,1.85,3.02,10.69,6.80,2.83
27.5,-33,365,19790223,22.52,16.88,87.87,68.07,1.84,3.13,12.52,0.84,2.85
27.5,-33,365,19790224,31.14,17.66,84.65,54.95,2.31,2.91,25.29,0.49,5.46
27.5,-33,365,19790225,34.65,21.23,73.3,40.43,2.28,1.96,24.45,1.85,6.00
27.5,-33,365,19790226,30.24,19.63,87.69,56.58,2.43,2.03,24.65,0.00,5.07
27.5,-33,365,19790227,26.47,20.8,97.2,74.9,2.54,2.15,12.03,2.16,2.67
