Longitude,Latitude,Elevation,Date,Tmax,Tmin,RHmax,RHmin,VPmean,WSmean,SR,Pr,ETo
26.3,-28.9,1316,19790101,33.5,19.42,74.48,18.33,1.18,3.95,32.61,0.00,9.46
26.3,-28.9,1316,19790102,31.39,16.21,45.99,22.39,1.03,4.44,30.33,0.13,8.95
26.3,-28.9,1316,19790103,25.82,9.97,52.78,13.73,0.63,3.85,34.69,0.00,7.96
26.3,-28.9,1316,19790104,26.63,11.49,49.96,37.78,1.11,2.75,28.6,0.03,6.32
26.3,-28.9,1316,19790105,28.85,15.47,60.76,32.17,1.27,3.22,24.51,1.90,6.58
26.3,-28.9,1316,19790106,32.13,15.16,65.08,20.86,1.08,3.55,32.47,0.00,8.62
26.3,-28.9,1316,19790107,29.73,14.42,67.11,29.96,1.21,1.97,31.88,0.10,6.95
26.3,-28.9,1316,19790108,28.42,15.85,64.48,36.79,1.45,2.93,25.46,0.54,6.23
26.3,-28.9,1316,19790109,30.84,17.09,62.1,31.41,1.39,2.3,28.11,0.20,6.84
26.3,-28.9,1316,19790110,30.65,16.76,77.13,30.57,1.26,2.53,27.38,3.23,6.96
26.3,-28.9,1316,19790111,32.25,16.73,66.24,22.94,1.35,3.21,28.22,1.81,7.68
26.3,-28.9,1316,19790112,31.53,17.35,58.8,23.33,1.37,3.65,28.46,0.59,7.85
26.3,-28.9,1316,19790113,31.71,15.14,77.35,18.02,1.06,3.33,30.52,3.04,8.17
26.3,-28.9,1316,19790114,32.7,13.55,74.32,18.18,1.07,1.84,33.16,0.00,7.45
26.3,-28.9,1316,19790115,32.9,17.46,57.39,24.99,1.46,3.05,23.88,3.74,7.06
26.3,-28.9,1316,19790116,31.79,17.82,73.59,33.04,1.58,2.75,28.1,2.39,7.11
26.3,-28.9,1316,19790117,31.6,16.96,74.67,29.85,1.47,2.21,29.73,0.06,7.02
26.3,-28.9,1316,19790118,23.05,17.3,86.67,55.21,1.74,2.4,12.8,23.54,3.24
26.3,-28.9,1316,19790119,27.1,16.94,84.68,55.17,1.82,2.65,23,5.78,5.14
26.3,-28.9,1316,19790120,27.36,14.86,88.02,35.97,1.35,2.99,27.31,1.03,6.30
26.3,-28.9,1316,19790121,26.4,10.49,64.66,29.08,0.97,2.36,33.32,0.00,6.71
26.3,-28.9,1316,19790122,26.05,10.94,79.11,41.16,1.25,2.02,30.34,0.00,5.91
26.3,-28.9,1316,19790123,26.89,12.43,62.58,34.85,1.2,1.93,29.14,0.00,5.99
26.3,-28.9,1316,19790124,29.99,14.37,64.42,32.32,1.32,2.11,31.79,0.02,6.90
26.3,-28.9,1316,19790125,29.76,14.59,70.82,28.67,1.32,1.89,27.04,0.00,6.14
26.3,-28.9,1316,19790126,29.16,17.41,58.71,26.63,1.43,1.6,17.96,1.63,4.72
26.3,-28.9,1316,19790127,25.44,16.8,85.6,51.3,1.58,1.81,12.67,2.31,3.51
26.3,-28.9,1316,19790128,27.92,15.96,89.71,43.68,1.75,1.46,25.36,2.58,5.23
26.3,-28.9,1316,19790129,29.66,15.87,79.13,42.17,1.71,1.88,27.73,4.05,5.97
26.3,-28.9,1316,19790130,29.02,15.73,79.46,38.7,1.65,2.41,29.88,14.17,6.39
26.3,-28.9,1316,19790131,26.82,15.72,82.27,52.62,1.69,2.01,26.28,1.24,5.38
26.3,-28.9,1316,19790201,28.81,15.93,78.04,45.4,1.68,1.64,25.7,2.48,5.49
26.3,-28.9,1316,19790202,28.75,14.75,75.22,37.67,1.48,1.24,29.29,1.21,5.84
26.3,-28.9,1316,19790203,29.11,14.57,84.04,38.74,1.51,2,28.76,0.00,6.13
26.3,-28.9,1316,19790204,31.53,16.41,65.28,33.92,1.49,2.64,28.64,0.15,6.97
26.3,-28.9,1316,19790205,32.8,16.26,63.23,25.18,1.44,1.69,27.44,0.75,6.42
26.3,-28.9,1316,19790206,32.49,17.32,68.06,28.37,1.47,2.28,26.61,1.05,6.70
26.3,-28.9,1316,19790207,32.15,17.68,71.38,33.19,1.51,2.7,25.51,2.31,6.77
26.3,-28.9,1316,19790208,31.79,16.39,91.44,28.32,1.53,2.88,27.37,1.41,6.92
26.3,-28.9,1316,19790209,31.34,16.97,77.85,29.96,1.54,2.7,27.53,1.31,6.78
26.3,-28.9,1316,19790210,31.6,16.33,68.46,26.72,1.29,2,29.17,0.07,6.76
26.3,-28.9,1316,19790211,31.14,16.97,73.82,27.66,1.38,2.85,27.75,0.03,7.02
26.3,-28.9,1316,19790212,32.63,17.6,64.3,24.12,1.28,2.35,27.81,0.12,7.06
26.3,-28.9,1316,19790213,26.43,17.82,72.03,46.82,1.61,2.69,18.37,5.55,4.74
26.3,-28.9,1316,19790214,28.48,15.46,85.89,36.33,1.61,1.69,23.74,0.54,5.14
26.3,-28.9,1316,19790215,30.96,17.73,65.68,33.28,1.5,2.68,24.82,1.41,6.43
26.3,-28.9,1316,19790216,28.62,17.02,82.68,46.31,1.71,2.88,24.22,7.76,5.69
26.3,-28.9,1316,19790217,29.38,16.47,85.29,41.46,1.86,2.15,24.42,6.87,5.38
26.3,-28.9,1316,19790218,27.49,16.32,82.77,46.35,1.8,2.16,21.71,2.67,4.75
26.3,-28.9,1316,19790219,29.6,14.9,92.6,30.64,1.53,2.17,28.22,0.04,6.10
26.3,-28.9,1316,19790220,28.15,16.27,69.85,37.63,1.55,3.39,23.61,0.54,5.86
26.3,-28.9,1316,19790221,29.04,16.94,73.95,44.85,1.69,2.27,24.59,1.22,5.57
26.3,-28.9,1316,19790222,26.32,17.11,83.44,58.33,1.76,1.48,14.81,6.08,3.52
26.3,-28.9,1316,19790223,26.65,17.12,91.35,57.31,1.87,1.91,18.95,14.70,4.15
26.3,-28.9,1316,19790224,24.73,16.35,83.41,55.05,1.8,2.51,19.08,4.04,4.02
26.3,-28.9,1316,19790225,26.75,15.65,85.39,57.29,1.78,1.58,20.78,3.01,4.29
26.3,-28.9,1316,19790226,28.21,15.66,89.6,46.78,1.86,0.65,23.78,0.65,4.55
26.3,-28.9,1316,19790227,29.18,17.63,72.9,42.93,1.78,1.85,24.14,0.94,5.28
26.3,-28.9,1316,19790228,29.44,17.68,79.89,36.29,1.63,2.66,22.28,0.43,5.59
26.3,-28.9,1316,19790301,27.79,15.2,82.18,47.3,1.5,1.89,25.32,1.62,5.29
26.3,-28.9,1316,19790302,26.57,16.86,86.6,49.16,1.67,2.1,19.25,8.72,4.39
26.3,-28.9,1316,19790303,27.14,13.29,88.37,26.13,1.32,2.56,25.65,0.09,5.55
26.3,-28.9,1316,19790304,24.98,12.13,68.25,39.09,1.14,1.61,22.74,0.04,4.58
26.3,-28.9,1316,19790305,27.55,11.75,73.73,28.78,1.02,2.31,26.34,0.00,5.79
26.3,-28.9,1316,19790306,29.67,11.11,50.37,17.45,0.83,1.59,28,0.00,5.79
26.3,-28.9,1316,19790307,31.17,14.42,55.41,19.67,0.92,2,26.39,0.00,6.23
26.3,-28.9,1316,19790308,31.06,13.44,63.16,20.29,0.99,1.54,22.68,0.00,5.29
26.3,-28.9,1316,19790309,30.79,17.07,50.73,25.03,1.13,2.13,19.22,0.00,5.47
26.3,-28.9,1316,19790310,31.31,16.47,53.13,22.99,1.1,1.72,20.6,0.00,5.29
26.3,-28.9,1316,19790311,31.53,17.69,47.44,23.08,1.04,1.78,22.06,0.00,5.61
26.3,-28.9,1316,19790312,29.47,17.99,59.97,30.79,1.22,2.42,22.11,0.05,5.79
26.3,-28.9,1316,19790313,30.12,15.99,65.31,29.32,1.28,2.69,23.91,0.97,6.05
26.3,-28.9,1316,19790314,29.01,15.45,64.09,30.42,1.35,1.86,20.25,2.33,4.83
26.3,-28.9,1316,19790315,30.01,14.56,72.16,27.52,1.26,1.81,22.19,1.24,5.16
26.3,-28.9,1316,19790316,29.15,14.56,72.76,28.97,1.3,1.96,22.09,1.09,5.09
26.3,-28.9,1316,19790317,29.86,14.36,74.75,27.48,1.22,2.57,23.49,0.44,5.79
26.3,-28.9,1316,19790318,30.98,14.76,55.62,20.76,1.02,2.28,23.77,0.00,5.95
26.3,-28.9,1316,19790319,31.79,14.28,49.27,17.78,0.9,1.89,25.2,0.00,5.88
26.3,-28.9,1316,19790320,30.67,14.38,49.7,18.21,0.83,2.09,25.4,0.00,5.98
26.3,-28.9,1316,19790321,31.46,15.28,50.67,21.87,0.92,2.22,24.26,0.08,6.06
26.3,-28.9,1316,19790322,28.87,14.32,65.08,36.56,1.22,2.23,21.45,0.82,5.14
26.3,-28.9,1316,19790323,29.74,14.89,80.12,31.36,1.24,2.53,22.59,0.19,5.58
26.3,-28.9,1316,19790324,29.59,15.41,61.27,36.53,1.29,2.06,20.74,1.64,5.02
26.3,-28.9,1316,19790325,28.84,15.59,71.72,38.58,1.32,2.18,19.48,2.49,4.83
26.3,-28.9,1316,19790326,27.6,14.2,87.18,35.2,1.34,3.23,22.02,0.43,5.32
26.3,-28.9,1316,19790327,28.7,13.38,90.76,21.66,0.99,2.27,23.5,0.00,5.43
26.3,-28.9,1316,19790328,26.14,10.7,45.73,20.23,0.81,2.5,23.46,0.00,5.27
26.3,-28.9,1316,19790329,23.44,9.13,84.52,24.27,0.8,2.29,23.76,0.00,4.70
26.3,-28.9,1316,19790330,24.04,9.71,51.35,22.56,0.71,1.78,23.73,0.00,4.55
26.3,-28.9,1316,19790331,25.74,10.36,61.92,24.12,0.82,2.19,20.27,0.00,4.66
26.3,-28.9,1316,19790401,27.62,10.06,61.3,23.17,0.85,1.86,22.77,0.00,4.80
26.3,-28.9,1316,19790402,27.51,10.51,57.83,21.06,0.86,1.76,22.87,0.00,4.71
26.3,-28.9,1316,19790403,27.73,10.96,56.99,24.69,0.85,1.71,22.33,0.00,4.65
26.3,-28.9,1316,19790404,28.9,12.44,67.29,26.54,0.95,2.44,22.21,0.00,5.33
26.3,-28.9,1316,19790405,28.95,10.89,57.61,23.54,0.9,1.71,22.15,0.00,4.70
26.3,-28.9,1316,19790406,28.17,12.62,46.35,20.78,0.96,1.95,17.96,0.11,4.45
26.3,-28.9,1316,19790407,27.11,12.24,67.97,27.71,1.05,1.82,21.21,0.01,4.42
26.3,-28.9,1316,19790408,28.34,10.65,58.06,24.04,0.93,1.46,21.9,0.00,4.32
26.3,-28.9,1316,19790409,27.86,11.75,57.23,24.62,0.96,1.82,19.37,0.00,4.35
26.3,-28.9,1316,19790410,27.46,12.51,60.78,26.1,1.06,1.96,17.38,0.00,4.17
26.3,-28.9,1316,19790411,27.97,12.83,61.37,25.7,1.04,1.84,19.85,0.07,4.37
26.3,-28.9,1316,19790412,27.89,14.72,49.4,26,1.06,2.31,17.61,1.29,4.59
26.3,-28.9,1316,19790413,25.55,12.56,79.41,31.43,1.07,2.2,18.76,0.35,4.16
26.3,-28.9,1316,19790414,27.1,9.81,47.75,20.06,0.71,1.77,20.9,0.00,4.36
26.3,-28.9,1316,19790415,26.99,11.4,78.74,32.21,1.04,2.72,20.11,0.21,4.72
26.3,-28.9,1316,19790416,25.52,12.7,78.42,40.57,1.28,2.17,18.68,2.03,3.87
26.3,-28.9,1316,19790417,25.97,12.63,79.92,38.97,1.35,2.22,18.21,2.44,3.82
26.3,-28.9,1316,19790418,24.93,12.51,85.8,44.31,1.38,1.64,16.86,6.65,3.26
26.3,-28.9,1316,19790419,23.6,12.86,86.36,39.32,1.3,1.83,18.2,12.37,3.38
26.3,-28.9,1316,19790420,22.97,11.74,76.68,46.31,1.28,2.19,17.55,2.47,3.32
26.3,-28.9,1316,19790421,23.31,10.53,84,36.91,1.15,1.69,18.56,0.11,3.30
26.3,-28.9,1316,19790422,23.57,11.24,88.7,50.95,1.3,1.69,17.6,1.40,3.14
26.3,-28.9,1316,19790423,23.39,11.02,87.42,47.3,1.29,1.72,16.56,4.13,3.02
26.3,-28.9,1316,19790424,21.43,9.86,89.76,48.29,1.21,1.33,16.25,0.13,2.66
26.3,-28.9,1316,19790425,22.47,9.34,87.8,43.68,1.12,1.83,16.12,0.12,2.99
26.3,-28.9,1316,19790426,22.94,10.88,81.74,34.37,1.04,1.56,18.51,0.00,3.22
26.3,-28.9,1316,19790427,23.64,7.26,73.37,29.54,0.89,1.81,18.53,0.00,3.39
26.3,-28.9,1316,19790428,24.24,7.56,70.25,28.36,0.9,1.39,18.7,0.00,3.20
26.3,-28.9,1316,19790429,24.65,7.07,81.67,28.15,0.93,1.46,18.38,0.00,3.20
