Longitude,Latitude,Elevation,Date,Tmax,Tmin,RHmax,RHmin,VPmean,WSmean,SR,Pr,ETo
31,-25.5,895,19790101,24.61,15.81,89.61,70.86,2.11,1.45,17.22,0.89,3.31
31,-25.5,895,19790102,31.24,17.17,86.3,52.39,2.2,1.27,28.19,5.13,5.85
31,-25.5,895,19790103,22.3,14.55,89.53,55.2,1.38,1.75,15.55,4.60,3.56
31,-25.5,895,19790104,23.68,12.5,66.65,45.9,1.19,1.49,28.57,0.03,5.29
31,-25.5,895,19790105,25.02,13.81,79.12,53.76,1.55,1.32,26.07,0.19,4.91
31,-25.5,895,19790106,31.97,14.06,89.26,38.43,1.81,1.61,29.22,14.25,6.25
31,-25.5,895,19790107,20.02,15.47,91.92,72.27,1.78,1.72,10.85,8.79,2.22
31,-25.5,895,19790108,20.07,14.71,92.37,66.75,1.59,1.2,12.28,1.48,2.54
31,-25.5,895,19790109,26.55,16.22,86.39,58.41,1.88,1.22,22.95,0.38,4.57
31,-25.5,895,19790110,29.75,15.6,87.78,48.91,2.07,1.28,29.41,0.00,5.80
31,-25.5,895,19790111,30.81,17.64,86.13,47.57,2.22,1.17,27.18,1.76,5.62
31,-25.5,895,19790112,32.02,18.14,91.51,40.4,2.09,1.32,26.88,1.58,5.85
31,-25.5,895,19790113,26.22,18.39,89.97,64.86,2.11,1.49,19.9,0.54,4.11
31,-25.5,895,19790114,28.64,19.3,86.95,57.22,2.21,0.97,24.1,2.27,4.94
31,-25.5,895,19790115,29.94,19.68,80.54,46.34,2.25,1.22,28.48,0.36,5.84
31,-25.5,895,19790116,32.09,18.28,84.03,43.17,2.13,1.22,28.45,0.34,6.05
31,-25.5,895,19790117,30.19,18.49,86.84,52.33,2.24,1.17,25.35,16.35,5.29
31,-25.5,895,19790118,27.29,19.4,92.95,63.91,2.33,1.15,20.44,7.64,4.19
31,-25.5,895,19790119,28.48,18.86,91,59.72,2.39,1.1,23.3,14.75,4.70
31,-25.5,895,19790120,31.17,18.76,89.06,54.24,2.38,1.02,25.44,7.24,5.33
31,-25.5,895,19790121,21.98,15.95,98.22,77.08,1.85,1.73,9.12,16.64,2.17
31,-25.5,895,19790122,19.89,14.31,78.63,61.22,1.46,1.91,13.61,1.57,2.90
31,-25.5,895,19790123,21.73,14.62,83.42,56.24,1.5,1.34,20.54,0.67,3.86
31,-25.5,895,19790124,24.65,15.35,78.01,52.32,1.57,1.18,27.63,0.76,5.09
31,-25.5,895,19790125,28.83,13.52,83.28,51.62,1.84,1.18,31.14,0.00,5.87
31,-25.5,895,19790126,28.41,17.03,75.11,54.78,1.98,1.38,29,0.00,5.68
31,-25.5,895,19790127,27.83,17.61,76.19,55.67,2.01,1.16,24.15,0.20,4.86
31,-25.5,895,19790128,26.8,18.14,88.58,59.04,2.16,1.14,20.43,0.48,4.13
