Longitude,Latitude,Elevation,Date,Tmax,Tmin,RHmax,RHmin,VPmean,WSmean,SR,Pr,ETo
29.7,-23.8,1217,19790101,25.1,15.71,82.82,61.78,1.87,3.44,21.08,0.68,4.37
29.7,-23.8,1217,19790102,30.63,17.66,84.26,41.34,1.87,1.95,26.47,0.78,6.00
29.7,-23.8,1217,19790103,21.75,13.34,87.72,64.58,1.4,5.33,20.95,2.20,4.55
29.7,-23.8,1217,19790104,22.44,10.4,74.05,43.22,1.02,4.08,27.41,0.04,5.76
29.7,-23.8,1217,19790105,25.77,11.36,78.63,39.95,1.21,2.08,26.06,0.01,5.43
29.7,-23.8,1217,19790106,30.31,13.21,71.88,29.42,1.32,2.74,30.57,0.70,7.07
29.7,-23.8,1217,19790107,24.23,14.93,71.19,49.72,1.55,5.27,24.13,1.79,5.35
29.7,-23.8,1217,19790108,20.54,13.08,85.4,59.62,1.4,3.82,17.48,5.52,3.71
29.7,-23.8,1217,19790109,27.15,14.61,83.85,39.73,1.47,1.91,23.85,0.23,5.23
29.7,-23.8,1217,19790110,30.29,13.57,79.76,32.09,1.48,1.76,29.84,0.08,6.36
29.7,-23.8,1217,19790111,32.56,16.72,64.33,22.72,1.29,2.36,27.93,0.34,7.15
29.7,-23.8,1217,19790112,31.66,19.28,67.86,32.29,1.6,2.17,21.96,4.26,5.97
29.7,-23.8,1217,19790113,27.36,18.76,81.07,47.81,1.8,2.52,21.35,4.12,5.13
29.7,-23.8,1217,19790114,28.77,17.79,82.2,48.68,1.89,1.66,25.27,11.03,5.43
29.7,-23.8,1217,19790115,28.82,18.84,78.21,36.98,1.88,2.26,27.31,0.98,6.02
29.7,-23.8,1217,19790116,31.15,16.72,80.93,31.38,1.65,1.46,29.14,0.15,6.29
29.7,-23.8,1217,19790117,31.05,17.95,72.93,29.63,1.67,2.33,28.19,0.47,6.66
29.7,-23.8,1217,19790118,28.37,18.77,83.15,46.89,1.87,3.74,24.51,2.28,5.99
29.7,-23.8,1217,19790119,28.97,19.01,78.54,41.12,1.89,2.2,23.6,11.83,5.49
29.7,-23.8,1217,19790120,30.03,18.63,89.36,44.62,1.97,1.72,23.18,18.33,5.30
29.7,-23.8,1217,19790121,24.53,14.61,85.12,69.08,1.81,3.61,17.18,10.49,3.76
29.7,-23.8,1217,19790122,21.94,12.76,85,48.86,1.3,4.87,23.28,0.08,4.96
29.7,-23.8,1217,19790123,21.96,11.9,80.86,47.66,1.22,3.8,24.77,0.05,5.02
29.7,-23.8,1217,19790124,23.94,13.08,77.47,41.38,1.26,2.31,25.51,0.10,5.19
29.7,-23.8,1217,19790125,28.73,11.38,79.33,34.22,1.35,1.55,30.63,0.00,6.08
29.7,-23.8,1217,19790126,30.92,15.1,73.13,28.14,1.43,1.98,28.47,0.03,6.46
29.7,-23.8,1217,19790127,30.32,15.98,69.4,33.01,1.51,2.07,26.81,0.20,6.19
29.7,-23.8,1217,19790128,28.93,17.1,74.74,38.74,1.64,2.33,26.17,0.28,5.96
29.7,-23.8,1217,19790129,30.29,18.45,77.24,44.94,1.91,1.93,26.69,5.00,5.95
29.7,-23.8,1217,19790130,24.42,18.19,96.32,60.28,1.95,3.79,18.94,9.83,4.16
