Longitude,Latitude,Elevation,Date,Tmax,Tmin,RHmax,RHmin,VPmean,WSmean,SR,Pr,ETo
27.1,-26.7,1339,19790101,31.03,18.4,70.63,38.05,1.62,3.66,28.01,8.21,7.42
27.1,-26.7,1339,19790102,30.74,17.14,63.44,39.4,1.51,3.22,27.93,2.25,7.17
27.1,-26.7,1339,19790103,26.68,14.28,69.41,36.85,1.1,2.69,29.6,0.02,6.65
27.1,-26.7,1339,19790104,22.4,14.59,79.79,51.37,1.34,2.91,15.86,1.71,4.05
27.1,-26.7,1339,19790105,26.98,14.84,64.66,37.92,1.33,2.4,26.97,0.50,6.01
27.1,-26.7,1339,19790106,30.94,16.61,57.24,27.48,1.16,3.02,31.12,0.00,7.89
27.1,-26.7,1339,19790107,30.66,14.37,68.62,28.22,1.34,2.64,30.81,0.02,7.20
27.1,-26.7,1339,19790108,24.81,16.03,74.19,47.28,1.49,3.15,20.59,0.73,4.97
27.1,-26.7,1339,19790109,28.75,14.86,79.54,35.74,1.41,2.22,28.44,0.12,6.32
27.1,-26.7,1339,19790110,29.86,16.83,67.62,35.98,1.47,2.13,25.23,5.20,6.10
27.1,-26.7,1339,19790111,30.18,15.69,74.89,28.03,1.49,2.56,24.94,8.09,6.23
27.1,-26.7,1339,19790112,27.8,16.32,69.43,42.55,1.55,2.44,21.54,9.55,5.30
27.1,-26.7,1339,19790113,30.23,15.89,79.94,29.42,1.46,2.4,29.43,0.15,6.80
27.1,-26.7,1339,19790114,29.16,14.31,71.55,38.09,1.43,1.43,27.52,0.04,5.81
27.1,-26.7,1339,19790115,30.57,17.2,69.46,41.37,1.68,2.68,27.04,2.67,6.54
27.1,-26.7,1339,19790116,30.26,15.68,83.73,41,1.65,1.9,26.97,8.53,6.04
27.1,-26.7,1339,19790117,29.63,15.66,81.98,39.43,1.68,1.73,26.15,7.83,5.73
27.1,-26.7,1339,19790118,26.18,16.89,88.94,51.11,1.74,2.27,19.61,22.71,4.53
27.1,-26.7,1339,19790119,27.29,16.2,85.53,54.38,1.82,2.56,26.78,8.25,5.58
27.1,-26.7,1339,19790120,27.57,17.05,89.64,59.34,1.76,2.61,20.34,1.62,4.94
27.1,-26.7,1339,19790121,27.1,13.39,91.3,32.01,1.24,2.04,32.63,0.00,6.53
27.1,-26.7,1339,19790122,25.64,12.66,77.84,47.17,1.25,3.08,27.44,0.00,5.96
27.1,-26.7,1339,19790123,25.33,11.77,68.11,39.4,1.14,2.32,31.9,0.00,6.24
27.1,-26.7,1339,19790124,27.53,13.04,64.29,41.68,1.26,1.56,31.51,0.00,6.20
27.1,-26.7,1339,19790125,28.64,13.22,69.45,36.85,1.3,1.61,29.32,0.00,6.07
27.1,-26.7,1339,19790126,29.55,14.29,75.59,33.8,1.41,1.12,25.52,0.00,5.37
27.1,-26.7,1339,19790127,27.86,16.43,80.27,42.06,1.48,1.63,18.91,0.46,4.63
27.1,-26.7,1339,19790128,29.05,17.76,74.66,40.04,1.55,1.53,26.31,0.20,5.76
27.1,-26.7,1339,19790129,29.24,16.84,73.86,45.07,1.78,1.9,24.34,7.42,5.45
27.1,-26.7,1339,19790130,27.37,16.32,84.67,53.82,1.75,2.69,23.62,1.76,5.28
27.1,-26.7,1339,19790131,26.45,16.4,79.12,50.37,1.61,2.02,23.38,1.83,5.08
27.1,-26.7,1339,19790201,27.7,15.6,84.24,44.81,1.61,1.51,25.43,0.57,5.28
27.1,-26.7,1339,19790202,28.64,14.74,79.44,36.67,1.44,1.57,28.28,1.01,5.87
27.1,-26.7,1339,19790203,28.01,14.27,85.9,43.73,1.61,1.57,25.45,0.62,5.26
27.1,-26.7,1339,19790204,29.31,15.09,76.51,38.55,1.7,1.81,26.05,3.05,5.59
27.1,-26.7,1339,19790205,31.35,15.26,75.36,35.44,1.71,1.52,27.21,1.69,5.91
