Longitude,Latitude,Elevation,Date,Tmax,Tmin,RHmax,RHmin,VPmean,WSmean,SR,Pr,ETo
31.9,-28.7,52,19790101,33.79,20.45,81.54,36,2.14,3.09,27.04,0.00,7.12
31.9,-28.7,52,19790102,33.91,19.09,74.87,45.98,2.16,4.81,23.02,12.77,7.17
31.9,-28.7,52,19790103,22.58,16.88,77.52,44.02,1.39,6.29,27.24,3.66,6.11
31.9,-28.7,52,19790104,22.21,15.58,73.56,51.58,1.47,3.97,20.52,1.37,4.53
31.9,-28.7,52,19790105,29.51,16.3,71.68,37.13,1.61,2.28,30.44,0.00,6.54
31.9,-28.7,52,19790106,29.24,18.56,76.11,50.69,2.09,3.43,24.56,1.34,5.65
31.9,-28.7,52,19790107,22.64,18.36,88.66,56.45,1.81,3.85,11.02,4.12,3.20
31.9,-28.7,52,19790108,26.66,16.72,84.69,47.9,1.76,1.92,19.7,0.43,4.39
31.9,-28.7,52,19790109,34.15,17.32,84.82,35.84,1.96,3.46,31.88,0.00,7.94
31.9,-28.7,52,19790110,38.45,20.11,75.35,27.33,2.14,3.16,30.24,0.18,8.68
31.9,-28.7,52,19790111,31.33,22.51,89.7,50.16,2.51,1.88,18.06,0.27,4.57
31.9,-28.7,52,19790112,40.58,22.04,76.89,23.45,2.18,3.47,21.89,11.86,8.35
31.9,-28.7,52,19790113,28.63,21,80.66,57.3,2.18,2.36,18.5,0.31,4.59
31.9,-28.7,52,19790114,28.5,21.83,83.42,64.34,2.48,1.88,15.56,0.87,3.73
31.9,-28.7,52,19790115,37.64,22.6,86.13,37.73,2.5,3.21,27.31,0.01,7.91
31.9,-28.7,52,19790116,32.98,24.39,80.12,56.86,2.74,2.32,24.44,0.00,5.98
31.9,-28.7,52,19790117,28.69,22.48,90.41,58.1,2.42,3.06,16.38,4.02,4.34
31.9,-28.7,52,19790118,34.67,19.97,93.32,41.25,2.38,1.94,24.38,0.17,6.01
31.9,-28.7,52,19790119,39.29,24.83,78.31,35.21,2.64,3.38,22.52,4.23,7.76
31.9,-28.7,52,19790120,34.34,22.91,75.52,52.54,2.46,3.81,22.37,0.12,6.75
31.9,-28.7,52,19790121,24.09,18.96,80.02,50.05,1.76,5.12,13.7,1.91,4.31
31.9,-28.7,52,19790122,22.28,17.38,88.53,56.47,1.81,3.24,13.8,4.02,3.17
31.9,-28.7,52,19790123,25.32,18.56,80.28,55.3,1.82,2.1,16.52,0.75,3.92
31.9,-28.7,52,19790124,31.66,19.4,76.09,33.87,1.78,3.72,28.68,0.01,7.49
31.9,-28.7,52,19790125,36.92,19.89,75.26,33.33,2,4.11,29.87,0.00,8.98
31.9,-28.7,52,19790126,35.8,22.72,69.9,36.81,2.24,2.14,26.06,0.00,6.89
31.9,-28.7,52,19790127,34.59,22.62,76.93,42.04,2.34,1.65,24.14,0.41,5.99
31.9,-28.7,52,19790128,27.76,23.6,85.75,65.28,2.63,1.41,11.64,3.82,2.92
31.9,-28.7,52,19790129,36.94,22.84,85.12,38.38,2.48,2.2,25.75,0.79,6.89
31.9,-28.7,52,19790130,25.56,21.22,92.18,77.56,2.46,3.52,9.4,14.19,2.53
